"統計名：","人口推計 各月1日現在人口 確定値"
"表番号：","003"
"表題：","[確定値] 年齢（５歳階級），男女，月別人口－総人口，日本人人口 ，外国人人口 （各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","","","/男女別 コード","000","001","002"
"表章項目 コード","表章項目","確定値 コード","確定値","全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","人口 コード","人口","年齢5歳階級 コード","年齢5歳階級","/男女別","男女計","男","女"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01019","90～94歳","","1,806","498","1,309"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01020","95～99歳","","499","93","406"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01021","100歳以上","","80","10","70"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","02000","（再掲）15歳未満","","14,810","7,586","7,225"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01023","（再掲）15～64歳","","72,749","36,857","35,892"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01024","（再掲）65歳以上","","35,840","15,560","20,279"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01026","（再掲）うち75歳以上","","18,530","7,277","11,253"
"001","人口【千人】","01","確定値","00000","全国","2020001010","2020年10月","002","日本人人口","01027","（再掲）うち85歳以上","","6,117","1,922","4,195"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01000","総数","","126,106","61,328","64,779"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01001","0～4歳","","4,530","2,319","2,212"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01002","5～9歳","","5,108","2,616","2,491"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01003","10～14歳","","5,377","2,756","2,620"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01004","15～19歳","","5,695","2,922","2,773"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01005","20～24歳","","6,323","3,236","3,088"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01006","25～29歳","","6,381","3,277","3,104"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01007","30～34歳","","6,696","3,422","3,274"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01008","35～39歳","","7,488","3,801","3,687"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01009","40～44歳","","8,456","4,288","4,168"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01010","45～49歳","","9,869","4,994","4,875"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01011","50～54歳","","8,732","4,392","4,340"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01012","55～59歳","","7,974","3,984","3,990"
